date,name,team,opposition,venue,bat_innings,innings_played,previous_average,previous_strike_rate,previous_economy,previous_wicket_hauls,wickets
,L Pope,Sydney Sixers,Adelaide Strikers,Carrara Oval,,1,6.5,6,6.5,0,0
,CR Brathwaite,Sydney Sixers,Adelaide Strikers,Carrara Oval,,3,6.333333333,5.333333333,8.375,0,0
,DT Christian,Sydney Sixers,Adelaide Strikers,Carrara Oval,,3,21.16666667,15.33333333,8.901709402,0,1
,DJ Worrall,Adelaide Strikers,Sydney Sixers,Carrara Oval,,2,24,19,7.629473684,0,0
,DR Briggs,Adelaide Strikers,Sydney Sixers,Carrara Oval,,3,28.16666667,20.66666667,7.506410256,0,0
,WA Agar,Adelaide Strikers,Sydney Sixers,Carrara Oval,,4,25.83333333,16.66666667,9.438076923,0,0
,Rashid Khan,Adelaide Strikers,Sydney Sixers,Carrara Oval,,2,16.5,18,5.625,0,3
,PM Siddle,Adelaide Strikers,Sydney Sixers,Carrara Oval,,3,2.666666667,3.166666667,8.416518219,0,0
,RJ Gibson,Adelaide Strikers,Sydney Sixers,Carrara Oval,,0,0,0,0,0,0
2021-01-14,XC Bartlett,Brisbane Heat,Melbourne Renegades,Manuka Oval,,3,30,19,8.157894737,0,1
,JD Wildermuth,Brisbane Heat,Melbourne Renegades,Manuka Oval,,3,5.833333333,4.166666667,6.244444444,0,1
,MT Steketee,Brisbane Heat,Melbourne Renegades,Manuka Oval,,3,8.291666667,5,10.43666667,1,2
,MP Kuhnemann,Brisbane Heat,Melbourne Renegades,Manuka Oval,,2,0,0,8.857142857,0,1
,JJ Bazley,Brisbane Heat,Melbourne Renegades,Manuka Oval,,2,14,9,8.523809524,0,0
,M Morkel,Brisbane Heat,Melbourne Renegades,Manuka Oval,,1,12.5,12,6.25,0,1
,JL Denly,Brisbane Heat,Melbourne Renegades,Manuka Oval,,0,0,0,0,0,0
,Imad Wasim,Melbourne Renegades,Brisbane Heat,Manuka Oval,,2,17.25,16.5,5.666666667,0,1
,KW Richardson,Melbourne Renegades,Brisbane Heat,Manuka Oval,,2,30.25,19.75,9.235555556,0,1
,P Hatzoglou,Melbourne Renegades,Brisbane Heat,Manuka Oval,,1,14.66666667,8,11,0,2
,Noor Ahmad,Melbourne Renegades,Brisbane Heat,Manuka Oval,,2,0,0,7.65,0,0
,JA Prestwidge,Melbourne Renegades,Brisbane Heat,Manuka Oval,,2,10,10,5.769230769,0,1
2021-01-02,SL Rainbird,Melbourne Stars,Hobart Hurricanes,Bellerive Oval,,1,0,0,7.846153846,0,1
,GJ Maxwell,Melbourne Stars,Hobart Hurricanes,Bellerive Oval,,2,13,9,11.5,0,1
,B Stanlake,Melbourne Stars,Hobart Hurricanes,Bellerive Oval,,2,5,6.5,7.846153846,0,3
,LC Hatcher,Melbourne Stars,Hobart Hurricanes,Bellerive Oval,,0,0,0,0,0,0
,Zahir Khan,Melbourne Stars,Hobart Hurricanes,Bellerive Oval,,1,9.5,13,4.384615385,0,0
,LR Morris,Melbourne Stars,Hobart Hurricanes,Bellerive Oval,,0,0,0,0,0,0
,RP Meredith,Hobart Hurricanes,Melbourne Stars,Bellerive Oval,,3,60,27,10.05444444,0,0
,J Botha,Hobart Hurricanes,Melbourne Stars,Bellerive Oval,,0,0,0,0,0,1
,SM Boland,Hobart Hurricanes,Melbourne Stars,Bellerive Oval,,3,11.41666667,10.08333333,9.516666667,1,4
,S Lamichhane,Hobart Hurricanes,Melbourne Stars,Bellerive Oval,,3,13,12,6.555555556,0,2
,NT Ellis,Hobart Hurricanes,Melbourne Stars,Bellerive Oval,,3,19.16666667,14,8.476190476,1,2
,DJM Short,Hobart Hurricanes,Melbourne Stars,Bellerive Oval,,3,9,9,9.833333333,0,0
2021-01-24,AF Milne,Sydney Thunder,Adelaide Strikers,Adelaide Oval,,2,18,13,9.206477733,0,2
,N McAndrew,Sydney Thunder,Adelaide Strikers,Adelaide Oval,,2,16.5,12,8.25,0,1
,B Doggett,Sydney Thunder,Adelaide Strikers,Adelaide Oval,,1,19,18,6.333333333,0,2
,BCJ Cutting,Sydney Thunder,Adelaide Strikers,Adelaide Oval,,2,0,0,7.261904762,0,0
,CJ Green,Sydney Thunder,Adelaide Strikers,Adelaide Oval,,2,19,13,9.461538462,0,1
,T Sangha,Sydney Thunder,Adelaide Strikers,Adelaide Oval,,2,21.25,12.5,10.19230769,0,0
,MG Neser,Adelaide Strikers,Sydney Thunder,Adelaide Oval,,1,0,0,10.5,0,2
,WA Agar,Adelaide Strikers,Sydney Thunder,Adelaide Oval,,5,25.83333333,16.66666667,9.217128205,0,0
,PM Siddle,Adelaide Strikers,Sydney Thunder,Adelaide Oval,,4,2.666666667,3.166666667,9.145721997,0,2
,DR Briggs,Adelaide Strikers,Sydney Thunder,Adelaide Oval,,4,28.16666667,20.66666667,8.067307692,0,0
,TM Head,Adelaide Strikers,Sydney Thunder,Adelaide Oval,,1,0,0,8,0,1
,LN O'Connor,Adelaide Strikers,Sydney Thunder,Adelaide Oval,,2,0,0,7.875,0,2
2021-01-23,JK Lalor,Melbourne Renegades,Brisbane Heat,Docklands Stadium,,1,0,0,12,0,0
,Imad Wasim,Melbourne Renegades,Brisbane Heat,Docklands Stadium,,3,20.83333333,19,6.111111111,0,1
,P Hatzoglou,Melbourne Renegades,Brisbane Heat,Docklands Stadium,,2,14.33333333,10.5,8.730769231,0,1
,Z Evans,Melbourne Renegades,Brisbane Heat,Docklands Stadium,,0,0,0,0,0,3
,JA Prestwidge,Melbourne Renegades,Brisbane Heat,Docklands Stadium,,3,15.33333333,13.66666667,6.322344322,0,0
,J Fraser-McGurk,Melbourne Renegades,Brisbane Heat,Docklands Stadium,,0,0,0,0,0,0
,BJ Webster,Melbourne Renegades,Brisbane Heat,Docklands Stadium,,0,0,0,0,0,0
,XC Bartlett,Brisbane Heat,Melbourne Renegades,Docklands Stadium,,4,23,15.75,6.618421053,0,2
,MT Steketee,Brisbane Heat,Melbourne Renegades,Docklands Stadium,,4,9.21875,6.875,9.2675,1,3
,B Laughlin,Brisbane Heat,Melbourne Renegades,Docklands Stadium,,0,0,0,0,0,0
,MJ Swepson,Brisbane Heat,Melbourne Renegades,Docklands Stadium,,0,0,0,0,0,2
,L Gregory,Brisbane Heat,Melbourne Renegades,Docklands Stadium,,3,34,19.5,11.12820513,0,1
,M Labuschagne,Brisbane Heat,Melbourne Renegades,Docklands Stadium,,2,0,0,1.833333333,0,2
,B Stanlake,Melbourne Stars,Perth Scorchers,Melbourne Cricket Ground,,3,6.222222222,7.111111111,7.310769231,0,0
,Zahir Khan,Melbourne Stars,Perth Scorchers,Melbourne Cricket Ground,,2,9.5,13,6.442307692,0,1
,A Zampa,Melbourne Stars,Perth Scorchers,Melbourne Cricket Ground,,2,3.45,5,4.3,1,1
,CD Hinchliffe,Melbourne Stars,Perth Scorchers,Melbourne Cricket Ground,,0,0,0,0,0,0
,NM Coulter-Nile,Melbourne Stars,Perth Scorchers,Melbourne Cricket Ground,,0,0,0,0,0,1
,MP Stoinis,Melbourne Stars,Perth Scorchers,Melbourne Cricket Ground,,0,0,0,0,0,1
,GJ Maxwell,Melbourne Stars,Perth Scorchers,Melbourne Cricket Ground,,3,13,10,9.833333333,0,0
,JA Richardson,Perth Scorchers,Melbourne Stars,Melbourne Cricket Ground,,3,7.166666667,7.75,5.747777778,1,1
,JP Behrendorff,Perth Scorchers,Melbourne Stars,Melbourne Cricket Ground,,3,12.33333333,11.33333333,6.55,0,2
,AM Hardie,Perth Scorchers,Melbourne Stars,Melbourne Cricket Ground,,3,0,0,9.095238095,0,0
,AJ Tye,Perth Scorchers,Melbourne Stars,Melbourne Cricket Ground,,3,14.66666667,11.66666667,6.381339713,1,2
,Fawad Ahmed,Perth Scorchers,Melbourne Stars,Melbourne Cricket Ground,,3,14.11111111,14.44444444,6.481616162,0,1
